RunID,CAGR,Vol_p.a.,Sharpe,Sortino,MaxDD,Calmar,ProfitFactor,WinRate,Avg_Exposure
2025-12-17 17:11:54,0.08497601257184173,0.11285345389547145,0.5757556399826684,0.35809716962355637,-0.15157440463807287,0.5606224400138414,1.96581683576011,0.8115942028985508,0.02296172779743711
2025-12-17 17:11:59,-0.011764424256522354,0.19525021360566674,-0.16268573370513567,-0.08870783609995565,-0.44456847216019346,-0.026462569869964203,1.07357698907334,0.7971014492753623,0.022617285455310127
2025-12-17 17:12:03,0.10915291276140371,0.09066221940880079,0.9833524189321735,0.6243083307360664,-0.13067833734156717,0.8352793200612869,2.6638057307496417,0.7971014492753623,0.02259030147012911
2025-12-17 17:12:06,-0.045269218015803636,0.2248756006432534,-0.2902458862993672,-0.16050525936403595,-0.5113990663509278,-0.08852033762756108,0.9285836074518324,0.782608695652174,0.022741505715724912
2025-12-17 17:12:10,0.07129751536377982,0.11816679930870155,0.43411106726999565,0.2591197912725614,-0.18453461653647735,0.38636390668569376,1.8091273958131904,0.8115942028985508,0.022423261666006833
2025-12-17 17:12:14,-0.009627758976314849,0.20972173655053966,-0.1412717606845441,-0.07598282445009763,-0.4855665627095653,-0.01982788708223625,1.122424227380051,0.782608695652174,0.022020111094931984
2025-12-17 17:12:17,0.07965719651197878,0.11173289140009605,0.53392690159925,0.3328447432989416,-0.17240964631582006,0.46202285205122856,1.9248643488612798,0.7971014492753623,0.023525191096731957
2025-12-17 17:12:21,-0.14937799920216877,0.350642434075816,-0.48305048887935165,-0.2053455179741731,-0.8237833973038095,-0.1813316457834346,0.9251924198205062,0.8405797101449275,0.023357666321908117
2025-12-17 17:12:25,-0.11942154488461221,0.30276419722687997,-0.46049548183577,-0.23030717558121208,-0.6983936358487037,-0.1709946064148887,0.7792532908280035,0.7971014492753623,0.021196220227456774
2025-12-17 17:12:28,-0.2887950125451567,0.3940649739964512,-0.7836144618829727,-0.36930357324291246,-0.9094920731472543,-0.3175343920764424,0.6357195704354028,0.8115942028985508,0.02335974213253163
