Periode,W_Long_P1,W_Short_P1,W_Long_C1,W_Short_C1,W_Long_P2,W_Short_P2,W_Long_C2,W_Short_C2,RunID,Gamma,Seed
2020-01-17,0.005474659960750642,0.0,0.00017468760105778818,0.0,3.3478400949748247e-06,0.02340968396988494,2.308730805885424e-05,0.0,2025-12-17 17:11:54,40.0,1000
2020-02-21,0.0,3.405121261276764e-05,0.0,4.615458438847871e-05,0.0,3.0950910295635955e-05,0.0,0.02359052947666625,2025-12-17 17:11:54,40.0,1000
2020-03-20,0.004041385031826626,0.0,0.0,2.3979838140760024e-05,0.0,0.00030513854339123115,0.0017057699674038896,0.0,2025-12-17 17:11:54,40.0,1000
2020-04-17,0.03512736289090575,0.0,0.024617861302868048,0.0,8.835479095377963e-06,0.018980254656387054,2.7265839405640685e-06,0.006344026175124839,2025-12-17 17:11:54,40.0,1000
2020-05-15,0.0,0.0001712616950599881,0.0,0.00018980431510995252,0.0,0.0005524800166796223,0.0,0.024106359834211402,2025-12-17 17:11:54,40.0,1000
2020-06-19,0.009132833359970092,0.0,0.0,0.0,0.0,0.029697175418467378,0.0,0.0021824390703936714,2025-12-17 17:11:54,40.0,1000
2020-07-17,0.0,0.00011422330741712395,0.0,0.00014065268995671032,0.0,0.0003136776057699808,0.0,0.02440202035892383,2025-12-17 17:11:54,40.0,1000
2020-08-21,0.0,3.9017178935127175e-05,0.0,4.301598907901348e-05,0.0,6.280183296610123e-05,0.0,0.02483167611755887,2025-12-17 17:11:54,40.0,1000
2020-09-18,0.003918034603508271,0.0,0.0037045293911454986,0.0,2.3193488236597397e-06,0.001186667573180257,0.0,1.9720907848557056e-05,2025-12-17 17:11:54,40.0,1000
2020-10-16,0.0,0.00887185121722223,0.0,0.0,0.0,0.0,0.0,0.017344860273630046,2025-12-17 17:11:54,40.0,1000
2020-11-20,0.002686005902466571,0.0,0.0005258955739847869,0.0,2.7922747224665906e-06,0.026471392359177236,1.8670781130553985e-06,0.0001708723906729369,2025-12-17 17:11:54,40.0,1000
2020-12-18,0.0,0.00012330715321657562,0.0,0.00013039787330527776,0.0,0.0,0.0,0.024764047450498355,2025-12-17 17:11:54,40.0,1000
2021-01-15,0.004090953925455639,0.0,0.0,0.0,0.0,0.027560159741389333,0.0,0.00024590796729986224,2025-12-17 17:11:54,40.0,1000
2021-02-19,0.0,5.196093081615048e-05,0.0,4.8010494096121815e-05,0.0,7.498936480360509e-05,0.0,0.024848854579339916,2025-12-17 17:11:54,40.0,1000
2021-03-19,0.0,0.00036923588314658796,0.0,0.01257230830233835,0.0,0.0,0.0,0.01220206037160578,2025-12-17 17:11:54,40.0,1000
2021-04-16,0.0,6.259615578198752e-05,0.0,6.356739072706096e-05,0.0,7.490958870943744e-05,0.0,0.02485160551877677,2025-12-17 17:11:54,40.0,1000
2021-05-21,0.0,0.00019441517976952351,0.0,0.004813696564332374,0.0,0.0,0.0,0.020129046894020283,2025-12-17 17:11:54,40.0,1000
2021-06-18,0.0,5.169460815234628e-05,0.0,6.189818177047309e-05,0.0,8.211361206278796e-05,0.0,0.02481975189652258,2025-12-17 17:11:54,40.0,1000
2021-07-16,0.0049078643431607095,0.0,0.0,0.0026442982252095687,0.0,0.01816842413160127,0.00040384547871030334,0.0,2025-12-17 17:11:54,40.0,1000
2021-08-20,0.0,3.8067167213697316e-05,0.0,5.203619529437974e-05,0.0,4.093763403975147e-05,0.0,0.024907736611818904,2025-12-17 17:11:54,40.0,1000
2021-09-17,0.006113996858351287,0.0,0.0,0.00028928430295176356,0.0,0.02563781568954071,9.147154836013797e-05,0.0,2025-12-17 17:11:54,40.0,1000
2021-10-15,0.008940894540401255,0.0,0.0022057030978897734,0.0,2.7674432519699013e-06,0.01885327722541169,0.0,0.00010733881239372465,2025-12-17 17:11:54,40.0,1000
2021-11-19,0.0,5.100063474631889e-05,0.0,5.882736662357152e-05,0.0,0.00016082278663115954,0.0,0.024683069680024303,2025-12-17 17:11:54,40.0,1000
2021-12-17,0.007218397704081551,0.0,8.453596377212822e-06,0.0036622025404366774,1.4040450603560152e-06,0.014913500596071645,0.0006401446258385452,0.0,2025-12-17 17:11:54,40.0,1000
2022-01-21,0.005042420909833716,0.0,3.1339080277776493e-06,0.0067678228142750985,2.1905095814529347e-06,0.014305595521204853,0.0018738332532101936,0.0,2025-12-17 17:11:54,40.0,1000
2022-02-18,0.006880676126154121,0.0,7.88895145953359e-06,0.0007131146774193273,3.948761455720327e-06,0.02864893005377096,0.00013637265084833654,0.0,2025-12-17 17:11:54,40.0,1000
2022-03-18,0.016141026381091404,0.0,0.01155017170489762,0.0,0.0,0.005882059411580953,0.0,0.0012299934082376902,2025-12-17 17:11:54,40.0,1000
2022-04-14,0.005912470665753949,0.0,0.0,0.0033822743563118817,0.0,0.016914268906491132,0.0004837763859018911,0.0,2025-12-17 17:11:54,40.0,1000
2022-05-20,0.0,0.004316173503630578,0.0,0.0,0.0,0.0,0.0,0.02170701298346475,2025-12-17 17:11:54,40.0,1000
2022-06-17,0.0,0.0003191007591104588,0.0,0.0004630000862023761,0.0,0.023339023870565228,0.0,0.0,2025-12-17 17:11:54,40.0,1000
2022-07-15,0.004989903954329478,0.0,0.007209214653565364,0.0,0.0,0.0006616877120146725,0.0,0.0009590764501947094,2025-12-17 17:11:54,40.0,1000
2022-08-19,0.0,0.0,0.0,0.006531058938862518,0.0,0.008360091872384066,0.001422200042980305,0.0,2025-12-17 17:11:54,40.0,1000
