Periode,W_Long_P1,W_Short_P1,W_Long_C1,W_Short_C1,W_Long_P2,W_Short_P2,W_Long_C2,W_Short_C2
2020-01-17,0.00312422538554039,1.611790463906736e-05,0.00040686592397544267,0.00061002616293136,1.54288146123453e-06,0.016297565243365918,5.6313132998741057e-05,0.004834691173404083
2020-02-21,0.0038283237498092995,1.1792053157564398e-05,0.0005627205120107163,0.0009245344794155183,6.742489875193215e-07,0.010998246830163797,5.707670018889444e-05,0.00707688744220821
2020-03-20,0.0026807724799322186,0.00033085735023348,0.0007523043673599401,0.0001166718671339896,0.00184801982367072,0.00082954950802614,0.0008383116021545688,1.662540721331183e-07
2020-04-17,0.02376804552127011,0.0,0.01654205465633412,0.0,2.0472389632782686e-06,0.01231411867428292,8.113796979102856e-07,0.00409061666296562
2020-05-15,0.0,0.00015866854099488856,0.0,0.00013325066755096035,0.0,0.00062938977451235,0.0,0.024086135990036818
2020-06-19,0.005234601480439261,6.37455418871308e-06,0.00015789282621539723,2.3385335685192493e-05,1.5198572142446528e-06,0.02467018736725449,7.164541083440723e-07,0.00430488768728393
2020-07-17,0.0,0.00018390400235792,0.0,0.00020657712497937998,0.0,0.00055248233534664,0.0,0.02405497242375035
2020-08-21,0.0,9.366961392901835e-05,0.0,8.201940043713414e-05,0.0,0.00011869373883357736,0.0,0.02471327483626317
2020-09-18,0.00869585123130987,0.0,0.0022358942616848335,0.0005484797834811601,1.238484213298601e-06,0.012888253464740729,0.00021695748858314997,0.0013065205369601383
2020-10-16,0.0,0.00635426388328165,0.0,0.0,0.0,0.0,0.0,0.01946153858776185
2020-11-20,0.007678906572945029,0.0,0.00114485689048666,5.217532311055728e-06,5.421364673522322e-07,0.02002342584384864,4.667040401625372e-07,0.0005184189250903729
2020-12-18,0.00033493667421744,4.9841813615727795e-05,0.00016649716793251998,6.816617806485767e-05,2.02411714318943e-07,0.009412041643600228,1.2981769744461105e-07,0.01573225976485183
2021-01-15,0.00417062567587738,0.0,0.0005389928357510175,0.0006380830462185512,1.2494257765702039e-07,0.02370445397257224,1.087758942913028e-06,0.0031496338287185397
2021-02-19,0.0,0.0001079031463690856,0.0,8.934399930689196e-05,0.0,7.541879360248203e-05,0.0,0.02477120785717979
2021-03-19,0.0,0.00049765966046196,0.0,0.0058511134720818595,0.0,0.0,0.0,0.01884130845635733
2021-04-16,0.00137018679837811,2.8602264638786194e-05,0.00027840271745879005,2.3808146717036035e-05,1.4745611206173626e-07,0.016520073167305954,2.7695204708891153e-07,0.00931698876167157
2021-05-21,4.545868456456e-05,0.00033670493909135,0.0,0.007077735392737219,0.0,0.0,0.0,0.01777846339404716
2021-06-18,0.00299119666029071,8.532564072164001e-05,1.460843576737975e-06,0.0014498959562947796,4.14458493609083e-07,0.013797532389555656,0.00014792558678931002,0.00748012653817739
2021-07-16,0.00374181536232234,1.202935973439652e-05,0.00011577264953810942,0.001312830247445173,9.84380152876897e-07,0.018578116047576126,0.00011148683146905552,0.005213403537626388
2021-08-20,0.006900467976490429,3.8067167213697323e-06,0.0007104766022338423,0.0005909883372448444,2.977471215075968e-07,0.015631971214663497,5.917721580913475e-05,0.0024912648569889984
