Periode,W_Long_P1,W_Short_P1,W_Long_C1,W_Short_C1,W_Long_P2,W_Short_P2,W_Long_C2,W_Short_C2,RunID,Gamma,Seed
2020-01-17,0.04885853300512721,0.0,0.031413007243027986,0.0,2.2389505432057447e-06,0.016775050184331987,0.0011877712755445143,0.0,2025-12-14 17:27:07,10.0,999
2020-02-21,0.0,0.0019520253169715113,0.0,0.0013015104916035917,0.0,0.0041141897043211065,0.0,0.9922451117028078,2025-12-14 17:27:07,10.0,999
2020-03-20,0.0,6.975547207081762e-05,0.0,6.69289850356145e-05,6.056999257066484e-05,0.0,0.0,0.9997403121349854,2025-12-14 17:27:07,10.0,999
2020-04-17,0.20804045083023126,0.0,1.1139621655102447e-06,4.9539166756433e-06,1.0257169998156285e-06,0.578227519189401,0.0,0.2137209751076851,2025-12-14 17:27:07,10.0,999
2020-05-15,0.03307921213460852,0.0,1.5422522014339695e-06,0.013082513879257249,3.25233440474493e-06,9.37898304170308e-05,0.02193884600017739,0.0,2025-12-14 17:27:07,10.0,999
2020-06-19,0.0,0.003985413528957155,0.0,0.0023381635593729575,0.0,0.0,0.0,0.9880326232384395,2025-12-14 17:27:07,10.0,999
2020-07-17,0.0,0.004982290882709928,0.0,0.003667183022458279,0.0,0.001122745686700212,0.0,0.9896545694942004,2025-12-14 17:27:07,10.0,999
2020-08-21,0.0,0.002517762895095521,0.0,0.002390654333819243,0.0,0.001274613421079484,0.0,0.9930260770780255,2025-12-14 17:27:07,10.0,999
2020-09-18,0.011742260564424028,0.0,0.0,0.033402057669092856,4.343844904393494e-06,0.04623685817633969,0.0058164528899709396,0.0,2025-12-14 17:27:07,10.0,999
2020-10-16,7.57623745095005e-05,0.0,1.741596985367165e-05,0.0,0.0,0.6027434991879211,7.432482106812653e-06,0.39708494558697555,2025-12-14 17:27:07,10.0,999
2020-11-20,0.30052473119013007,0.0,5.492796848861096e-06,0.0,0.0,0.6041374940701165,0.0,0.0953307875601216,2025-12-14 17:27:07,10.0,999
2020-12-18,0.1598243210769081,0.0,0.0,0.0018154947791458468,0.0,0.19695801664165552,0.0,0.002846382499407869,2025-12-14 17:27:07,10.0,999
2021-01-15,0.0,0.0035676467930928187,0.0,0.00241673918093215,0.0,0.0011716430871261054,0.0,0.9924828585049772,2025-12-14 17:27:07,10.0,999
2021-02-19,0.0,0.0027685887918440432,0.0,0.007104556854834343,0.0,0.01680755177045641,0.0,0.9726831789150193,2025-12-14 17:27:07,10.0,999
2021-03-19,0.06514659284079281,0.0,0.03241256821172847,0.0,0.0,0.022952791393999118,0.002678350423487437,0.0,2025-12-14 17:27:07,10.0,999
2021-04-16,0.04143989810611807,0.0,0.02920591715617257,0.0,3.4415552084911804e-06,0.01601205894264311,0.002998086620383907,0.0,2025-12-14 17:27:07,10.0,999
2021-05-21,0.059253514430281144,0.0,0.024066425301157556,0.0,0.0,0.02923234558393411,0.0028350257598762636,0.0,2025-12-14 17:27:07,10.0,999
2021-06-18,0.0,0.0009221068679531102,0.0,0.00043632360770387644,0.0,0.0015116050820521093,0.0,0.9969623541487442,2025-12-14 17:27:07,10.0,999
2021-07-16,0.19652840734386537,0.0,0.0704847783849226,0.0,0.0,0.4775706251698204,0.0,0.255411227487321,2025-12-14 17:27:07,10.0,999
2021-08-20,0.0,0.005340729928765413,0.0,0.0050970051725186555,0.0,0.0,0.0,0.9879998730153366,2025-12-14 17:27:07,10.0,999
2021-09-17,0.0,0.004444840976294258,0.0,0.004912452569133155,0.0,0.0,0.0,0.9892030945395193,2025-12-14 17:27:07,10.0,999
2021-10-15,0.0664573039679373,0.0,0.03451515398667888,0.0,0.0,0.02013944838030893,0.003469341556411285,0.0,2025-12-14 17:27:07,10.0,999
2021-11-19,0.05179846469050907,0.0,0.0,0.0003192038692840968,0.0,0.6861168069165443,5.674621210710473e-06,0.2616784374837584,2025-12-14 17:27:07,10.0,999
2021-12-17,0.047844257061402155,0.0,0.006576851656517988,0.0,1.0120589467965286e-06,0.033649487497747835,0.0069289911169237795,0.0,2025-12-14 17:27:07,10.0,999
2022-01-21,0.0,0.012290701349379558,0.0,0.037085135671021376,0.0,0.02084128603561345,0.008068500030886485,0.0,2025-12-14 17:27:07,10.0,999
2022-02-18,0.02620307804383518,0.0,0.0,0.025587144144075216,0.0,0.00870946561194146,0.02026740778751914,0.0,2025-12-14 17:27:07,10.0,999
2022-03-18,0.036260725871219576,0.0,0.0,0.0,2.261293939337613e-06,0.009547731574951248,0.013485497707508091,0.0,2025-12-14 17:27:07,10.0,999
2022-04-14,0.020319499856254013,0.0,2.6720744335377208e-06,0.016743785188797145,1.5880438150246896e-06,0.01904040996760728,0.011865171514389622,0.0,2025-12-14 17:27:07,10.0,999
2022-05-20,0.03585981717973939,0.0,0.0,0.07285887427867585,0.0,0.13626527892291165,0.0,0.003892746340463961,2025-12-14 17:27:07,10.0,999
2022-06-17,0.0,0.0,1.0769104118061155e-06,7.681075985193747e-06,0.0176874390442897,0.0,0.02033807166969393,0.0,2025-12-14 17:27:07,10.0,999
2022-07-15,0.0,2.286691982388782e-05,0.0,3.526543454934437e-05,1.2333015845616683e-06,0.0,2.3525131347332725e-06,0.9999333830783759,2025-12-14 17:27:07,10.0,999
2022-08-19,0.0,0.0030254549927270055,0.0,0.002957990208710004,0.0,0.0,0.0,0.9934539191942341,2025-12-14 17:27:07,10.0,999
2022-09-16,0.014125217555269923,0.0,0.0,2.9974427720526465e-06,0.0,0.0,0.015597823066176993,0.0,2025-12-14 17:27:07,10.0,999
