Date,W_Long_P1,W_Short_P1,W_Long_C1,W_Short_C1,W_Long_P2,W_Short_P2,W_Long_C2,W_Short_C2
2020-02-21,0.050839067205919436,0.0,0.03374276365484027,0.0,0.0,0.016398793552866043,0.0012651466233216224,0.0
2020-03-20,0.008177370052810084,0.0,0.0,0.030777763127581546,0.0,0.045588133468244536,0.0009455793727784266,0.0
2020-04-17,0.030148299292235586,0.0,0.0,0.030053241662183896,0.0,2.816727864405472e-06,0.051130576472741746,0.0
2020-05-15,0.0359527535195024,0.0,0.0,0.02121735298701461,0.0,0.00621999324428885,0.030574691399325192,0.0
2020-06-19,0.03841167244377854,0.0,0.0,0.015079750082520311,0.0,0.012730281193316428,0.021073502889754812,0.0
2020-07-17,0.0,2.378119977229749e-06,0.0,0.03433172379813073,0.0,0.14668076705874092,0.0,0.018982553564945537
2020-08-21,0.0,2.5949474928180864e-05,0.0,0.00019439868334963987,0.0,0.12288200567269224,0.0,0.07688024653779471
2020-09-18,0.0,0.0,0.0,0.0,0.0,0.04999844845650981,0.0,0.14999969645395902
2020-10-16,0.030876109635101987,0.0,0.0,0.0,0.0,0.015333419786890868,0.011243993114630162,0.0
2020-11-20,0.0,2.8739125600458728e-05,0.0,2.952624360305172e-05,0.0,0.15,0.0,0.04993257950540503
2020-12-18,0.021467361857497178,0.0,0.002656492416936996,0.0,0.0,0.03427899706666849,0.0,2.1927043602533224e-05
2021-01-15,0.014617344134589852,0.0,0.0,0.03213426674783734,1.3299000516397107e-06,0.04670241461629429,0.0008870702287476035,0.0
2021-02-19,0.05352436927616708,0.0,0.0,0.04846549362104749,0.0,0.14461676812494592,0.0,0.006913702379493063
2021-03-19,0.0,5.169465292033628e-06,0.0,5.558370802607161e-06,0.0,0.050006898765714625,0.0,0.1499794835576558
2021-04-16,0.0636744393723431,0.0,0.03375904061983851,0.0,0.0,0.02144887058232904,0.0022630225258253216,0.0
2021-05-21,0.013210990805393742,0.0,0.0,0.01243882805296336,0.0,0.04472982219082977,0.0,0.001516053706305886
2021-06-18,0.05551578294616351,0.0,0.024000783173191386,0.0,0.0,0.026297187352625224,0.0028255993574045333,0.0
2021-07-16,0.05704306492572408,0.0,0.0,0.034944472995442434,0.0,0.11584612432280718,0.0,0.0
2021-08-20,0.05474872448521568,0.0,0.0,0.036903518129972786,0.0,0.10221703171601634,0.002679664361335005,0.0
2021-09-17,0.056842875887880964,0.0,1.0828245925056949e-06,0.007772432981469967,0.0,0.08773416008360013,0.0,0.0
2021-10-15,0.07421298661829578,0.0,0.0,0.036085659822606246,0.0,0.14999794813033826,1.2515935871530186e-06,0.0006824813202077418
2021-11-19,0.0659286653976311,0.0,0.029429636718128177,0.0,0.0,0.018200290591151698,0.0053487177573840194,0.0
2021-12-17,0.0,1.3853336372150204e-06,0.0,1.884960803837911e-06,0.0,0.049995701636003476,0.0,0.14999925496372588
2022-01-21,0.045838565572116165,0.0,0.010366796717440336,0.0,0.0,0.025864871614214312,0.0066157007929927986,0.0
2022-02-18,0.013920909950444314,0.0,0.0,0.024910556243340196,0.0,2.5826074978010455e-06,0.02118442615188117,0.0
2022-03-18,0.026818468624399714,0.0,0.0,0.015874616321419354,0.0,0.0066720557853828496,0.018527589402203032,0.0
2022-04-14,0.038113513657183795,0.0,0.0037611934740701056,0.0,0.0,0.011595155902837875,0.012271710645488675,0.0
2022-05-20,0.026660677279009434,0.0,0.0,0.004893756905449699,0.0,0.01265662669686696,0.011505684752866702,0.0
2022-06-17,0.0,0.010627347535754733,0.0,0.07096689632745982,0.0,0.08394551842091112,0.0,0.0076158262666504535
2022-07-15,0.010275579345956616,0.0,0.0,9.701009451139126e-05,0.01216918119967375,0.0,0.020441969808825095,0.0
2022-08-19,0.019117255856382374,0.0,0.0,2.6217869821590775e-06,0.0,0.003955915764014731,0.013679322374801213,0.0
2022-09-16,0.016874504743479565,0.0,0.006826552041496267,0.0,0.0,0.0035652294272549303,0.008417677484305582,0.0
2022-10-21,0.006295061033775991,0.0,0.0,1.7105976550983372e-06,0.004539102948424153,0.0,0.015407360519124665,0.0
2022-11-18,0.00294048790847979,0.0,0.0,2.9014971618391033e-06,0.012770918728329774,0.0,0.0192527682902244,0.0
2022-12-16,0.0,0.022495949626977724,0.0,0.05953042548373216,0.0,0.04592993462070452,0.0,0.004758500974838141
2023-01-20,0.0,0.021699873516612657,0.0,0.02031047618438295,0.0,0.14999891817947228,0.009296734321077013,0.0
2023-02-17,0.015888871633012,0.0,0.006537162110653541,0.0,0.006434346540155528,0.0,0.011636245060765027,0.0
2023-03-17,0.021390193743041838,0.0,0.0016899975076575067,0.0,0.0,0.003281811236686038,0.0101762881174737,0.0
2023-04-21,0.025896702273774726,0.0,0.0,0.00356220057502578,0.0,0.005843783618850159,0.016582936437700792,0.0
2023-05-19,0.0,0.0,0.0,0.0,0.0,0.05000019410314542,0.0,0.1499997398746179
2023-06-16,0.00048355310236423315,0.0,0.0,0.01330426268927272,0.0,0.017955542415737068,0.0011979021162678925,0.0
2023-07-21,0.03463490317826875,0.0,0.028299718744455454,0.0,0.0,0.0033079664678639393,0.0030034066832620755,0.0
2023-08-18,0.0,0.0,0.0,0.013994667151658861,0.0,0.01688479448261655,0.0,0.0001338908549715491
2023-09-15,0.0,0.0003216858582188369,0.0,0.03126843677598717,0.0,0.024865661974622075,0.0023610987240781614,0.0
2023-10-20,0.03496268311273294,0.0,0.024180681249592263,0.0,0.0,0.0019021538794879139,0.004797335691279101,0.0
