Periode,W_Long_P1,W_Short_P1,W_Long_C1,W_Short_C1,W_Long_P2,W_Short_P2,W_Long_C2,W_Short_C2
2024-03-15,0.7491169119962215,-0.7850884680269923,-1.0,1.0,-1.0,1.0,-1.0,1.0
2024-04-19,-1.0,1.0,2.7277302089868254,-2.813865181723363,-1.0,1.0,5.728585379464286,-6.3593902587890625
2024-05-17,-1.0,1.0,1.28940375232342,-1.332763671875,-1.0,1.0,-1.0,1.0
2024-06-21,-1.0,1.0,0.05686976256983245,-0.07002085690045234,-1.0,1.0,-1.0,1.0
2024-07-19,-0.925903987363388,0.9238226386938202,-1.0,1.0,-1.0,1.0,-1.0,1.0
2024-08-16,-1.0,1.0,0.544023596722147,-0.5827317091747912,-1.0,1.0,-1.0,1.0
2024-09-20,-1.0,1.0,0.5477193712986463,-0.5963388279886563,-1.0,1.0,-1.0,1.0
2024-10-18,-1.0,1.0,-0.40327764714805825,0.39146136293316824,-1.0,1.0,-1.0,1.0
2024-11-15,-0.6490413446162047,0.6382426167582418,-1.0,1.0,-1.0,1.0,-1.0,1.0
2024-12-20,-0.8616376366120219,0.8591751251390434,-1.0,1.0,-1.0,1.0,-1.0,1.0
2025-01-17,-1.0,1.0,0.15215705422794112,-0.17168513989282164,-1.0,1.0,-1.0,1.0
2025-02-21,2.8556759290961153,-2.9141543304474213,-1.0,1.0,1.8282423143262987,-1.8844325589817883,-1.0,1.0
2025-03-21,2.8432953323143115,-2.885529346955128,-1.0,1.0,3.115887572433775,-3.1993177259290535,-1.0,1.0
2025-04-17,-1.0,1.0,2.877625240611251,-2.9572172917334827,-1.0,1.0,7.320412149234693,-7.799284790917266
2025-05-16,-0.8564900014066017,0.8532984446894172,-1.0,1.0,-1.0,1.0,-1.0,1.0
2025-06-20,-1.0,1.0,1.955863452099901,-2.021949830094004,-1.0,1.0,-1.0,1.0
2025-07-18,-1.0,1.0,0.7041459965874619,-0.7268446625256149,-1.0,1.0,-1.0,1.0
2025-08-15,-1.0,1.0,0.7362591692509541,-0.7734888980263159,-1.0,1.0,-1.0,1.0
2025-09-19,-0.2672502501936983,0.2557169382869884,-1.0,1.0,-1.0,1.0,-1.0,1.0
